Notes,Mood,Feeling

"Wrapped up my reading for class and actually feel ahead for once.","Content","good"
"Spent the afternoon debugging and finally got the script to run.","Relieved","good"
"Walked across campus at sunset and everything felt very still.","Tranquil","good"
"Got lost in lecture and left more confused than when it started.","Confused","not good"
"Had a quiet morning journaling before checking any notifications.","Grounded","good"
"Realized I double-booked meetings and spent the day stressed out.","Stressed","not good"
"Talked with a friend about research ideas and left feeling energized.","Enthusiastic","good"
"Scrolled on my phone for an hour and felt empty afterward.","Empty","not good"
"Finished organizing my notes and my desk feels so much clearer now.","Clear","good"
"Received a short email that made me worry I messed something up.","Worried","not good"
"Took a slow walk around the neighborhood just to breathe a little.","Calm","good"
"Could not shake the feeling that everyone else is doing better than me.","Inadequate","not good"
"Had a relaxed lunch outside and enjoyed watching people pass by.","Chill","good"
"Watched a video on a new technique and felt excited to try it out.","Curious","good"
"Spent an hour staring at my screen, not sure how to even start.","Stuck","not good"
"Shared some old music with a friend and felt unexpectedly nostalgic.","Nostalgic","not good"
"Got an encouraging message from a mentor that lifted my spirits.","Encouraged","good"
"Felt drained during lab and had trouble engaging with the material.","Exhausted","not good"
"Managed to finish a problem set earlier than expected and took the evening off.","Pleased","good"
"Kept replaying a small mistake in my head all day.","Regretful","not good"
"Had a genuinely fun chat with classmates before lecture started.","Chatty","good"
"Felt like I was just going through the motions all afternoon.","Apathetic","not good"
"Finally cleaned my inbox and it feels a little less overwhelming.","Relieved","good"
"Made a small error in code review and took it way too personally.","Embarrassed","not good"
"Read a paper that connected several ideas I had been wrestling with.","Fascinated","good"
"Sat in the library feeling like everyone else knew exactly what they were doing.","Insecure","not good"
"Cooked a simple dinner and enjoyed the quiet rhythm of the kitchen.","Peaceful","good"
"Skipped exercise again and felt disappointed in myself afterward.","Disappointed","not good"
"Listened closely in seminar and felt genuinely engaged with the discussion.","Attentive","good"
"Spent half the day worrying about things that may never happen.","Anxious","not good"
"Received a kind text at just the right moment and it meant a lot.","Appreciated","good"
"Watched the rain from the window and let myself zone out for a bit.","Pensive","good"
"Realized I forgot an important deadline and my stomach dropped.","Panicked","not good"
"Had a small victory fixing a bug that had bothered me all week.","Proud","good"
"Felt invisible in group work and did not say much.","Unseen","not good"
"Sat with a warm drink and read a chapter just for fun, not for class.","Comfortable","good"
"Kept thinking about home and felt far away from everything familiar.","Homesick","not good"
"Asked a question in class and received a thoughtful answer that helped things click.","Understood","good"
"Spent too long comparing my progress to others online.","Jealous","not good"
"Worked through a hard proof and felt strangely satisfied afterward.","Accomplished","good"
"Felt like I was annoying people by asking for clarification.","Self-conscious","not good"
"Enjoyed a slow morning with no alarms and no rushing.","Relaxed","good"
"Sat in a crowded room and still felt oddly disconnected from everyone.","Disconnected","not good"
"Had a meaningful conversation during office hours that gave me direction.","Heard","good"
"Felt weighed down by a long list of tasks and no idea where to start.","Overwhelmed","not good"
"Finished a small creative project and liked how it turned out.","Satisfied","good"
"Felt stuck refreshing my email waiting for a response that never came.","Restless","not good"
"Had a nice laugh over something silly in the group chat.","Amused","good"
"Could not stop thinking about an awkward comment I made earlier.","Mortified","not good"
"Reviewed notes from last week and realized I remembered more than expected.","Confident","good"
"Felt like I was pretending to know what I was doing all day.","Imposter-like","not good"
"Shared a quiet moment with a friend where we did not need to talk much.","Connected","good"
"Replayed an old memory that left me feeling strangely heavy.","Melancholic","not good"
"Got confirmation that a plan I proposed will move forward.","Validated","good"
"Kept bouncing from tab to tab and never got into a real flow.","Distracted","not good"
"Had a surprisingly smooth morning where everything lined up nicely.","Balanced","good"
"Felt a knot in my stomach thinking about upcoming deadlines.","Tense","not good"
"Noticed how kind a classmate was when explaining a tricky point.","Grateful","good"
"Spent the afternoon doomscrolling and left feeling worse than before.","Numb","not good"
"Enjoyed listening to background music while tackling smaller tasks.","Mellow","good"
"Felt small and out of place in a room full of confident people.","Intimidated","not good"
"Finally finished a long-running to-do and crossed it off my list.","Relieved","good"
"Sat in lecture feeling like my brain was moving through molasses.","Groggy","not good"
"Had a calm evening planning the week ahead with my calendar open.","Organized","good"
"Felt like my words did not land the way I meant them to.","Misunderstood","not good"
"Watched a tutorial and felt excited to try the technique in my own project.","Motivated","good"
"Stayed up too late and felt off all day because of it.","Tired","not good"
"Got a small compliment on my work that brightened my afternoon.","Appreciated","good"
"Found myself zoning out in conversation and missing parts of it.","Detached","not good"
"Had a gentle day with slow tasks and minimal pressure.","At Ease","good"
"Felt pressure building even during small, ordinary tasks.","Strained","not good"
"Completed a draft earlier than expected and enjoyed the extra space in my schedule.","Productive","good"
